Id,addresses,prices,links
0,"Ruda Śląska, Kochłowice, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-ruda-slaska-kochlowice-ul-oswiecimska/ob/29828985
1,"Katowice, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice/ob/27099893
2,"Świętochłowice, śląskie",900 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-swietochlowice-ul-polaka/ob/29779125
3,"Katowice, śląskie",900 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice-ul-owsiana/ob/29590651
4,"Chorzów, Chorzów Batory, śląskie",800 zł/mc,https://gratka.pl/nieruchomosci/lokal-chorzow-chorzow-batory-ul-armii-krajowej/ob/29935017
5,"Chorzów, Chorzów II, śląskie",950 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-chorzow-ii-ul-3-maja/ob/29901331
6,"Katowice, Szopienice, śląskie",800 zł/mc,https://gratka.pl/nieruchomosci/komfortowe-mieszkanie-nad-stawem-morawa-latwy-dojazd-do-okolicznych-miast/oi/29879393
7,"Chorzów, Chorzów Batory, śląskie",990 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-chorzow-batory/ob/29877171
8,"Chorzów, Chorzów II, śląskie",850 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-chorzow-ii-ul-3-go-maja/ob/29865445
9,"Katowice, Janów, śląskie",930 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-janow-ul-oswobodzenia/ob/29864821
10,"Katowice, śląskie",900 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice/ob/29856275
11,"Katowice, śląskie",553 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-ul-wincentego-pola-21a-6/ob/29838649
12,"Katowice, śląskie",527 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-ul-poniatowskiego-11-1/ob/29838647
13,"Katowice, Giszowiec, śląskie",845 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice-giszowiec/ob/29838215
14,"Katowice, Ligota, śląskie",950 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-ligota-ul-krucza/ob/29831313
15,"Chorzów, śląskie",950 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-ul-powstancow/ob/29825481
16,"Katowice, Śródmieście, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-srodmiescie-ul-raciborska/ob/29806763
17,"Katowice, śląskie",750 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice/ob/29801585
18,"Katowice, śląskie",550 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-ul-zamkowa-42a-13/ob/29775921
19,"Katowice, Giszowiec, śląskie",800 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice-giszowiec-ul-kolista-25/ob/29768425
20,"Siemianowice Śląskie, śląskie",999 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-siemianowice-slaskie-ul-matejki/ob/29671031
21,"Katowice, Śródmieście, śląskie",500 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice-srodmiescie/ob/29667591
22,"Mysłowice, Wesoła, śląskie",950 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-myslowice-wesola-ul-piastow-slaskich/ob/29655545
23,"Chorzów, Centrum, śląskie",750 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-centrum/ob/29605009
24,"Świętochłowice, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-swietochlowice-ul-polaka/ob/29458191
25,"Katowice, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-katowice-ul-mikolowska/ob/29711323
26,"Świętochłowice, Chropaczów, śląskie",1 000 zł/mc,https://gratka.pl/nieruchomosci/mieszkanie-swietochlowice-chropaczow-ul-srednia/ob/29225955
27,"Chorzów, Centrum, śląskie",800 zł/mc,https://gratka.pl/nieruchomosci/lokal-chorzow-centrum-ul-wolnosci/ob/29136835
28,"Katowice, Giszowiec, śląskie",768 zł/mc,https://gratka.pl/nieruchomosci/lokal-katowice-giszowiec-ul-kolista-25/ob/28902217
